Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Guttipelopia,128161,FALSE,,DNI,Guttipelopia,128161,Guttipelopia,DNI
Gymnometriocnemus,128718,FALSE,,DNI,Gymnometriocnemus,128718,Gymnometriocnemus,DNI
Gymnopais/Twinnia,FALSE,FALSE,,DNI,Simuliidae,126640,Simuliidae,DNI
Gyraulus,76592,FALSE,,Gyraulus,Gyraulus,76592,Gyraulus,Gyraulus
Gyraulus deflectus,76594,FALSE,,Gyraulus,Gyraulus,76592,Gyraulus,Gyraulus
Gyraulus parvus,76595,FALSE,,Gyraulus,Gyraulus,76592,Gyraulus,Gyraulus
Gyrinidae,112653,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Gyrinus,112654,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Gyrinus affinis,FALSE,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Gyrinus bifarius,112690,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Gyrinus consobrinus,112688,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Gyrinus maculiventris,112662,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Gyrinus picipes,112659,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Gyrinus plicifer,112672,FALSE,,DNI,Gyrinidae,112653,Gyrinidae,DNI
Haemonais,69003,FALSE,,Naidinae,Haemonais,69003,Oligochaeta,Naidinae
Haemopis,69408,FALSE,,Hirudinida,Haemopis,69408,Haemopis,Hirudinida
Haemopis grandis,69409,FALSE,,Hirudinida,Haemopis,69408,Haemopis,Hirudinida
Halesochila taylori,116307,FALSE,,DNI,Halesochila taylori,116307,Halesochila taylori,DNI
Haliplidae,111857,FALSE,,Haliplidae,Haliplidae,111857,Haliplidae,Haliplidae
Haliplus,111858,FALSE,,Haliplidae,Haliplus,111858,Haliplus,Haliplidae
Hansonoperla,102988,FALSE,,DNI,Perlidae,102914,Perlidae,DNI
Haplolabis,FALSE,TRUE,"No idea what this is, bad ID, bad name?",DNI,DNI,FALSE,DNI,DNI
